0	str->list   Convert XML to URL List.   From Biligrab.
1	Downloads Dailymotion videos by URL.
2	Format text with color or other effects into ANSI escaped string.
3	Print a log message to standard error.
4	Detect operating system.
5	Splicing URLs according to video ID to get video details
6	Converts a string to a valid filename.
7	Downloads CBS videos by URL.
8	Override the original one   Ugly ugly dirty hack
9	Scans through a string for substrings matched some patterns.     Args:   text: A string to be scanned.   patterns: a list of regex pattern.     Returns:   a list if matched. empty if not.
10	Parses the query string of a URL and returns the value of a parameter.     Args:   url: A URL.   param: A string representing the name of the parameter.     Returns:   The value of the parameter.
11	Gets the content of a URL via sending a HTTP GET request.     Args:   url: A URL.   headers: Request headers used by the client.   decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.     Returns:   The content as a string.
12	Post the content of a URL via sending a HTTP POST request.     Args:   url: A URL.   headers: Request headers used by the client.   decoded: Whether decode the response body using UTF-8 or the charset specified in Content-Type.     Returns:   The content as a string.
13	Parses host name and port number from a string.
14	Checks if a task is either queued or running in this executor     :param task_instance: TaskInstance   :return: True if the task is known to this executor
15	Returns and flush the event buffer. In case dag_ids is specified   it will only return and flush events for the given dag_ids. Otherwise   it returns and flushes all     :param dag_ids: to dag_ids to return events for, if None returns all   :return: a dict of events
16	Returns a snowflake.connection object
17	returns aws_access_key_id, aws_secret_access_key   from extra     intended to be used by external import and export statements
18	Fetches a field from extras, and returns it. This is some Airflow   magic. The grpc hook type adds custom UI elements   to the hook page, which allow admins to specify scopes, credential pem files, etc.   They get formatted as shown below.
19	Executes SQL using psycopg2 copy_expert method.   Necessary to execute COPY command without access to a superuser.     Note: if this method is called with a "COPY FROM" statement and   the specified input file does not exist, it creates an empty   file and no data is loaded, but the operation succeeds.   So if users want to be aware when the input file does not exist,   they have to check its existence by themselves.
20	Dumps a database table into a tab-delimited file
21	Uploads the file to Google cloud storage
22	Gets the max partition for a table.     :param schema: The hive schema the table lives in   :type schema: str   :param table: The hive table you are interested in, supports the dot   notation as in "my_database.my_table", if a dot is found,   the schema param is disregarded   :type table: str   :param metastore_conn_id: The hive connection you are interested in.   If your default is set you don't need to use this parameter.   :type metastore_conn_id: str   :param filter_map: partition_key:partition_value map used for partition filtering,   e.g. {'key1': 'value1', 'key2': 'value2'}.   Only partitions matching all partition_key:partition_value   pairs will be considered as candidates of max partition.   :type filter_map: map   :param field: the field to get the max value from. If there's only   one partition field, this will be inferred   :type field: str     >>> max_partition('airflow.static_babynames_partitioned')   '2015-01-01'
23	Returns a mysql connection object
24	Returns the state of a TaskInstance at the command line.   >>> airflow task_state tutorial sleep 2015-01-01   success
25	Retrieves connection to Cloud Translate     :return: Google Cloud Translate client object.   :rtype: Client
26	Translate a string or list of strings.     See https://cloud.google.com/translate/docs/translating-text     :type values: str or list   :param values: String or list of strings to translate.     :type target_language: str   :param target_language: The language to translate results into. This   is required by the API and defaults to   the target language of the current instance.     :type format_: str   :param format_: (Optional) One of ``text`` or ``html``, to specify   if the input text is plain text or HTML.     :type source_language: str or None   :param source_language: (Optional) The language of the text to   be translated.     :type model: str or None   :param model: (Optional) The model used to translate the text, such   as ``'base'`` or ``'nmt'``.     :rtype: str or list   :returns: A list of dictionaries for each queried value. Each   dictionary typically contains three keys (though not   all will be present in all cases)     * ``detectedSourceLanguage``: The detected language (as an   ISO 639-1 language code) of the text.   * ``translatedText``: The translation of the text into the   target language.   * ``input``: The corresponding input value.   * ``model``: The model used to translate the text.     If only a single value is passed, then only a single   dictionary will be returned.   :raises: :class:`~exceptions.ValueError` if the number of   values and translations differ.
27	Retrieves a resource containing information about a Cloud SQL instance.     :param instance: Database instance ID. This does not include the project ID.   :type instance: str   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: A Cloud SQL instance resource.   :rtype: dict
28	Creates a new Cloud SQL instance.     :param body: Body required by the Cloud SQL insert API, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/insert#request-body.   :type body: dict   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
29	Updates settings of a Cloud SQL instance.     Caution: This is not a partial update, so you must include values for   all the settings that you want to retain.     :param body: Body required by the Cloud SQL patch API, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/patch#request-body.   :type body: dict   :param instance: Cloud SQL instance ID. This does not include the project ID.   :type instance: str   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
30	Deletes a Cloud SQL instance.     :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :param instance: Cloud SQL instance ID. This does not include the project ID.   :type instance: str   :return: None
31	Retrieves a database resource from a Cloud SQL instance.     :param instance: Database instance ID. This does not include the project ID.   :type instance: str   :param database: Name of the database in the instance.   :type database: str   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: A Cloud SQL database resource, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases#resource.   :rtype: dict
32	Creates a new database inside a Cloud SQL instance.     :param instance: Database instance ID. This does not include the project ID.   :type instance: str   :param body: The request body, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases/insert#request-body.   :type body: dict   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
33	Updates a database resource inside a Cloud SQL instance.     This method supports patch semantics.   See https://cloud.google.com/sql/docs/mysql/admin-api/how-tos/performance#patch.     :param instance: Database instance ID. This does not include the project ID.   :type instance: str   :param database: Name of the database to be updated in the instance.   :type database: str   :param body: The request body, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/databases/insert#request-body.   :type body: dict   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
34	Deletes a database from a Cloud SQL instance.     :param instance: Database instance ID. This does not include the project ID.   :type instance: str   :param database: Name of the database to be deleted in the instance.   :type database: str   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
35	Exports data from a Cloud SQL instance to a Cloud Storage bucket as a SQL dump   or CSV file.     :param instance: Database instance ID of the Cloud SQL instance. This does not include the   project ID.   :type instance: str   :param body: The request body, as described in   https://cloud.google.com/sql/docs/mysql/admin-api/v1beta4/instances/export#request-body   :type body: dict   :param project_id: Project ID of the project that contains the instance. If set   to None or missing, the default project_id from the GCP connection is used.   :type project_id: str   :return: None
36	Starts Cloud SQL Proxy.     You have to remember to stop the proxy if you started it!
37	Stops running proxy.     You should stop the proxy after you stop using it.
38	Returns version of the Cloud SQL Proxy.
39	Create connection in the Connection table, according to whether it uses   proxy, TCP, UNIX sockets, SSL. Connection ID will be randomly generated.     :param session: Session of the SQL Alchemy ORM (automatically generated with   decorator).
40	Retrieves the dynamically created connection from the Connection table.     :param session: Session of the SQL Alchemy ORM (automatically generated with   decorator).
41	Delete the dynamically created connection from the Connection table.     :param session: Session of the SQL Alchemy ORM (automatically generated with   decorator).
42	Retrieve Cloud SQL Proxy runner. It is used to manage the proxy   lifecycle per task.     :return: The Cloud SQL Proxy runner.   :rtype: CloudSqlProxyRunner
43	Retrieve database hook. This is the actual Postgres or MySQL database hook   that uses proxy or connects directly to the Google Cloud SQL database.
44	Clean up database hook after it was used.
45	Reserve free TCP port to be used by Cloud SQL Proxy
46	Replaces invalid MLEngine job_id characters with '_'.     This also adds a leading 'z' in case job_id starts with an invalid   character.     Args:   job_id: A job_id str that may have invalid characters.     Returns:   A valid job_id representation.
47	Extract error code from ftp exception
48	Remove any existing DAG runs for the perf test DAGs.
49	Remove any existing task instances for the perf test DAGs.
50	Toggle the pause state of the DAGs in the test.
51	Override the scheduler heartbeat to determine when the test is complete
52	Invoke Lambda Function
